pair,preposition,iou,experiment_path
preposition-subject,above,0.0,experiments/770625
preposition-object,above,0.07943925261497498,experiments/770625
preposition-verb,above,0.0020703934133052826,experiments/770625
preposition-subject,out of,0.0,experiments/765550
preposition-object,out of,0.0,experiments/765550
preposition-verb,out of,0.0,experiments/765550
preposition-subject,within,0.0,experiments/370135
preposition-object,within,0.0,experiments/370135
preposition-verb,within,0.0,experiments/370135
preposition-subject,outside,0.004048583097755909,experiments/694991
preposition-object,outside,0.004994450602680445,experiments/694991
preposition-verb,outside,0.0,experiments/694991
preposition-subject,towards,0.1960170716047287,experiments/768641
preposition-object,towards,0.5872548818588257,experiments/768641
preposition-subject,like,0.0,experiments/734511
preposition-object,like,0.0,experiments/734511
preposition-verb,like,0.0,experiments/734511
preposition-subject,in,0.0,experiments/566393
preposition-object,in,0.0,experiments/566393
preposition-verb,in,0.0,experiments/566393
preposition-subject,of,0.0,experiments/492389
preposition-object,of,0.0,experiments/492389
preposition-verb,of,0.0,experiments/492389
preposition-subject,inside,0.0012658227933570743,experiments/15681
preposition-object,inside,0.018518518656492233,experiments/15681
preposition-subject,above,0.02454991824924946,experiments/734907
preposition-object,above,0.12396693974733353,experiments/734907
preposition-subject,up of,0.0,experiments/460679
preposition-object,up of,0.0,experiments/460679
preposition-verb,up of,0.0,experiments/460679
preposition-subject,during,0.23341140151023865,experiments/628993
preposition-object,during,0.2398708164691925,experiments/628993
preposition-subject,within,0.0,experiments/124819
preposition-object,within,0.0,experiments/124819
preposition-verb,within,0.0,experiments/124819
preposition-subject,against,0.0,experiments/622366
preposition-object,against,0.0,experiments/622366
preposition-verb,against,0.42391303181648254,experiments/622366
preposition-subject,up at,0.0,experiments/750839
preposition-object,up at,0.0,experiments/750839
preposition-verb,up at,0.0,experiments/750839
preposition-subject,under,0.0,experiments/144988
preposition-object,under,0.0,experiments/144988
preposition-verb,under,0.0,experiments/144988
preposition-subject,within,0.0,experiments/128515
preposition-object,within,0.0,experiments/128515
preposition-verb,within,0.0,experiments/128515
preposition-subject,besides,0.0,experiments/584465
preposition-object,besides,0.0,experiments/584465
preposition-subject,while,0.0,experiments/762204
preposition-object,while,0.0,experiments/762204
preposition-verb,while,0.0,experiments/762204
preposition-subject,with,0.5771604776382446,experiments/690171
preposition-object,with,0.0,experiments/690171
preposition-verb,with,0.0,experiments/690171
preposition-subject,by,0.0,experiments/189493
preposition-object,by,0.0,experiments/189493
preposition-verb,by,0.0,experiments/189493
preposition-subject,at,0.1276332139968872,experiments/275927
preposition-object,at,0.0,experiments/275927
preposition-verb,at,0.37378641963005066,experiments/275927
preposition-subject,under,0.0,experiments/35767
preposition-object,under,0.0,experiments/35767
preposition-subject,outside,0.0,experiments/283744
preposition-object,outside,0.0,experiments/283744
preposition-subject,above,0.0,experiments/687166
preposition-object,above,0.0,experiments/687166
preposition-verb,above,0.0,experiments/687166
preposition-subject,atop,0.0,experiments/614657
preposition-object,atop,0.0,experiments/614657
preposition-verb,atop,0.0,experiments/614657
preposition-subject,side by side,0.0,experiments/215117
preposition-object,side by side,0.0,experiments/215117
preposition-verb,side by side,0.0,experiments/215117
preposition-subject,on top of,0.0,experiments/292466
preposition-object,on top of,0.0,experiments/292466
preposition-verb,on top of,0.0,experiments/292466
preposition-subject,for,0.0,experiments/99171
preposition-object,for,0.0,experiments/99171
preposition-verb,for,0.0,experiments/99171
preposition-subject,on,0.0,experiments/85883
preposition-object,on,0.0,experiments/85883
preposition-subject,among,0.0,experiments/84251
