pair,preposition,iou,experiment_path
preposition-subject,of,0.0,experiments/770625
preposition-object,of,0.06367859989404678,experiments/770625
preposition-verb,of,0.006559169385582209,experiments/770625
preposition-subject,on,0.061387352645397186,experiments/765550
preposition-object,on,0.02442002482712269,experiments/765550
preposition-verb,on,0.0,experiments/765550
preposition-subject,in,0.21165437996387482,experiments/370135
preposition-object,in,0.0,experiments/370135
preposition-verb,in,0.11968503892421722,experiments/370135
preposition-subject,with,0.3109429180622101,experiments/694991
preposition-object,with,0.32965564727783203,experiments/694991
preposition-verb,with,0.0,experiments/694991
preposition-subject,on,0.06984036415815353,experiments/768641
preposition-object,on,0.12213359773159027,experiments/768641
preposition-subject,of,0.0,experiments/734511
preposition-object,of,0.0,experiments/734511
preposition-verb,of,0.0,experiments/734511
preposition-subject,at,0.0,experiments/566393
preposition-object,at,0.0,experiments/566393
preposition-verb,at,0.0,experiments/566393
preposition-subject,up of,0.0,experiments/51721
preposition-object,up of,0.0,experiments/51721
preposition-verb,up of,0.0,experiments/51721
preposition-subject,with,0.7328737378120422,experiments/492389
preposition-object,with,0.27394208312034607,experiments/492389
preposition-verb,with,0.0,experiments/492389
preposition-subject,about,0.0,experiments/15681
preposition-object,about,0.0,experiments/15681
preposition-subject,on,0.5472440719604492,experiments/734907
preposition-object,on,0.0,experiments/734907
preposition-subject,on,0.0,experiments/460679
preposition-object,on,0.0,experiments/460679
preposition-verb,on,0.0,experiments/460679
preposition-subject,of,0.42741936445236206,experiments/628993
preposition-object,of,0.31040269136428833,experiments/628993
preposition-subject,next to,0.0,experiments/711283
preposition-object,next to,0.0,experiments/711283
preposition-verb,next to,0.0,experiments/711283
preposition-subject,by,0.0,experiments/124819
preposition-object,by,0.0,experiments/124819
preposition-verb,by,0.0,experiments/124819
preposition-subject,underneath,0.0,experiments/622366
preposition-object,underneath,0.0017761989729478955,experiments/622366
preposition-verb,underneath,0.05904059112071991,experiments/622366
preposition-subject,on top of,0.0,experiments/770470
preposition-object,on top of,0.0,experiments/770470
preposition-verb,on top of,0.0,experiments/770470
preposition-subject,down,0.2557636797428131,experiments/750839
preposition-object,down,0.0,experiments/750839
preposition-verb,down,0.1863517016172409,experiments/750839
preposition-subject,on,0.0008259912137873471,experiments/144988
preposition-object,on,0.00036231885314919055,experiments/144988
preposition-verb,on,0.0,experiments/144988
preposition-subject,in,0.0,experiments/128515
preposition-object,in,0.0,experiments/128515
preposition-verb,in,0.0,experiments/128515
preposition-subject,up to,0.1811535358428955,experiments/93596
preposition-object,up to,0.057062435895204544,experiments/93596
preposition-verb,up to,0.05756324157118797,experiments/93596
preposition-subject,in,0.0,experiments/584465
preposition-object,in,0.0,experiments/584465
preposition-subject,next to,0.0,experiments/206160
preposition-object,next to,0.0,experiments/206160
preposition-verb,next to,0.0,experiments/206160
preposition-subject,in,0.000961538462433964,experiments/762204
preposition-object,in,0.0,experiments/762204
preposition-verb,in,0.0,experiments/762204
preposition-subject,at,0.0,experiments/690171
preposition-object,at,0.0,experiments/690171
preposition-verb,at,0.0,experiments/690171
preposition-subject,on,0.19122807681560516,experiments/189493
preposition-object,on,0.0,experiments/189493
preposition-verb,on,0.1627907007932663,experiments/189493
preposition-subject,in,0.45846155285835266,experiments/275927
preposition-object,in,0.0,experiments/275927
preposition-verb,in,0.2839805781841278,experiments/275927
preposition-subject,of,0.0,experiments/35767
preposition-object,of,0.8432376980781555,experiments/35767
preposition-subject,in,0.010440308600664139,experiments/283744
preposition-object,in,0.05489259958267212,experiments/283744
preposition-subject,into,0.0,experiments/687166
preposition-object,into,0.0,experiments/687166
preposition-verb,into,0.0,experiments/687166
preposition-subject,at,0.0,experiments/614657
preposition-object,at,0.0,experiments/614657
preposition-verb,at,0.0,experiments/614657
preposition-subject,in,0.0,experiments/215117
preposition-object,in,0.0,experiments/215117
preposition-verb,in,0.0,experiments/215117
preposition-subject,next to,0.0,experiments/171821
preposition-object,next to,0.0,experiments/171821
preposition-verb,next to,0.0,experiments/171821
preposition-subject,in,0.0,experiments/292466
preposition-object,in,0.0,experiments/292466
preposition-verb,in,0.0,experiments/292466
preposition-subject,with,0.16203702986240387,experiments/99171
preposition-object,with,0.0024271844886243343,experiments/99171
preposition-verb,with,0.0,experiments/99171
preposition-subject,with,0.0,experiments/85883
preposition-object,with,0.0,experiments/85883
preposition-subject,onto,0.0,experiments/84251
preposition-object,onto,0.0,experiments/84251
preposition-verb,onto,0.0,experiments/84251
preposition-subject,of,0.2937694787979126,experiments/808279
preposition-object,of,0.35768863558769226,experiments/808279
preposition-verb,of,0.0020964359864592552,experiments/808279
preposition-subject,in,0.0,experiments/365933
preposition-object,in,0.0,experiments/365933
preposition-verb,in,0.0,experiments/365933
preposition-subject,on,0.0007468260009773076,experiments/488117
preposition-object,on,0.3809388279914856,experiments/488117
preposition-verb,on,0.0,experiments/488117
preposition-subject,up of,0.0,experiments/426237
preposition-object,up of,0.0,experiments/426237
preposition-subject,in,0.7066051959991455,experiments/104038
preposition-object,in,0.02067183516919613,experiments/104038
preposition-verb,in,0.7368420958518982,experiments/104038
preposition-subject,wearing,0.356890469789505,experiments/414035
preposition-object,wearing,0.12017480283975601,experiments/414035
preposition-verb,wearing,0.0,experiments/414035
preposition-subject,in,0.059405941516160965,experiments/255949
preposition-object,in,0.0,experiments/255949
preposition-verb,in,0.0771208256483078,experiments/255949
preposition-subject,with,0.18477977812290192,experiments/36608
preposition-object,with,0.007012622896581888,experiments/36608
preposition-subject,on,0.0,experiments/41595
preposition-object,on,0.0,experiments/41595
preposition-verb,on,0.0,experiments/41595
preposition-subject,in,0.3282378017902374,experiments/285753
preposition-object,in,0.3047619163990021,experiments/285753
preposition-verb,in,0.472258061170578,experiments/285753
preposition-subject,in,0.8219223022460938,experiments/787666
preposition-object,in,0.021739130839705467,experiments/787666
preposition-verb,in,0.0,experiments/787666
preposition-subject,of,0.0,experiments/430295
preposition-object,of,0.0,experiments/430295
preposition-verb,of,0.0,experiments/430295
preposition-subject,on,0.0,experiments/569526
preposition-object,on,0.0,experiments/569526
preposition-verb,on,0.0,experiments/569526
preposition-subject,of,0.0,experiments/768391
preposition-object,of,0.0,experiments/768391
preposition-verb,of,0.0,experiments/768391
preposition-subject,through,0.29832810163497925,experiments/74246
preposition-object,through,0.2530864179134369,experiments/74246
preposition-verb,through,0.0,experiments/74246
preposition-subject,up,0.0,experiments/27141
preposition-object,up,0.01421464141458273,experiments/27141
preposition-verb,up,0.03316749632358551,experiments/27141
preposition-subject,on,0.07647059112787247,experiments/325298
preposition-object,on,0.0,experiments/325298
preposition-verb,on,0.0,experiments/325298
preposition-subject,with,0.03869541361927986,experiments/217727
preposition-object,with,0.0,experiments/217727
preposition-verb,with,0.44237828254699707,experiments/217727
preposition-subject,among,0.0,experiments/654453
preposition-object,among,0.0,experiments/654453
preposition-subject,of,0.672468900680542,experiments/172833
